id,display_name,aka,operators,manufacturer_country,role,propulsion,total_components_documented,primary_source_url,secondary_sources,image_url,last_verified,notes
uav-zala-t-20,UAV Zala T 20,[],"[""RU""]",RU,isr,unknown,53,https://war-sanctions.gur.gov.ua/en/page-uav-zala-t-20,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-32-no-3920603314015,Missile Kh-32 No 3920603314015,[],"[""RU""]",RU,missile,unknown,3,https://war-sanctions.gur.gov.ua/en/page-missile-kh-32-no-3920603314015,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-69-no-9504514305003-and-no-9504513406014,Missile Kh-69 No 9504514305003 And No 9504513406014,[],"[""RU""]",RU,missile,unknown,78,https://war-sanctions.gur.gov.ua/en/page-missile-kh-69-no-9504514305003-and-no-9504513406014,[],,2026-06-13,Auto-registered from GUR component listing
geran-2-uav,Geran 2 UAV,[],"[""RU""]",RU,loitering_munition,unknown,41,https://war-sanctions.gur.gov.ua/en/page-geran-2-uav,[],,2026-06-13,Auto-registered from GUR component listing
geran-5-uav,Geran 5 UAV,[],"[""RU""]",RU,loitering_munition,unknown,16,https://war-sanctions.gur.gov.ua/en/page-geran-5-uav,[],,2026-06-13,Auto-registered from GUR component listing
geran-2-uav-series-with-verba-mpads,Geran 2 UAV Series With Verba Mpads,[],"[""RU""]",RU,loitering_munition,unknown,64,https://war-sanctions.gur.gov.ua/en/page-geran-2-uav-series-with-verba-mpads,[],,2026-06-13,Auto-registered from GUR component listing
fpv-drone-of-the-airplane-type-molniya-2r,Fpv Drone Of The Airplane Type Molniya 2R,[],"[""UNK""]",UNK,fpv_strike,unknown,22,https://war-sanctions.gur.gov.ua/en/page-fpv-drone-of-the-airplane-type-molniya-2r,[],,2026-06-13,Auto-registered from GUR component listing
geran-2-uav-series-with-r-60-missile,Geran 2 UAV Series With R 60 Missile,[],"[""RU""]",RU,loitering_munition,unknown,42,https://war-sanctions.gur.gov.ua/en/page-geran-2-uav-series-with-r-60-missile,[],,2026-06-13,Auto-registered from GUR component listing
orion-uav-system,Orion UAV System,[],"[""RU""]",RU,strike,unknown,72,https://war-sanctions.gur.gov.ua/en/page-orion-uav-system,[],,2026-06-13,Auto-registered from GUR component listing
missile-kh-47m2-kinzhal-9-s-7760,Missile Kh-47M2 Kinzhal 9 S 7760,[],"[""RU""]",RU,missile,unknown,5,https://war-sanctions.gur.gov.ua/en/page-missile-kh-47m2-kinzhal-9-s-7760,[],,2026-06-13,Auto-registered from GUR component listing
uav-shahed-136,UAV Shahed 136,[],"[""RU""]",IR,loitering_munition,unknown,20,https://war-sanctions.gur.gov.ua/en/page-uav-shahed-136,[],,2026-06-13,Auto-registered from GUR component listing
zala421-16e-uav,Zala421 16E UAV,[],"[""RU""]",RU,isr,unknown,53,https://war-sanctions.gur.gov.ua/en/page-zala421-16e-uav,[],,2026-06-13,Auto-registered from GUR component listing
ballistic-missile-kn-24,Ballistic Missile KN-24,[],"[""RU""]",KP,missile,unknown,72,https://war-sanctions.gur.gov.ua/en/page-ballistic-missile-kn-24,[],,2026-06-13,Auto-registered from GUR component listing
